selection1_name,selection1_url
Nityanand Rai,https://india.gov.in/my-government/indian-parliament/nityanand-rai
Dushyant Chautala,https://india.gov.in/my-government/indian-parliament/dushyant-chautala
Vinod Kumar Sonkar,https://india.gov.in/my-government/indian-parliament/vinod-kumar-sonkar
Niranjan Jyoti,https://india.gov.in/my-government/indian-parliament/niranjan-jyoti
Neelam Sonker,https://india.gov.in/my-government/indian-parliament/neelam-sonker
Raj Kumar Saini,https://india.gov.in/my-government/indian-parliament/raj-kumar-saini
Hemamalini,https://india.gov.in/my-government/indian-parliament/hemamalini
Vijay Sampla,https://india.gov.in/my-government/indian-parliament/vijay-sampla
Ram Charitra Nishad,https://india.gov.in/my-government/indian-parliament/ram-charitra-nishad
Shobha Karandlaje,https://india.gov.in/my-government/indian-parliament/shobha-karandlaje
Sudheer Gupta,https://india.gov.in/my-government/indian-parliament/sudheer-gupta
Tamradhwaj Sahu,https://india.gov.in/my-government/indian-parliament/tamradhwaj-sahu
Bhagirath Prasad,https://india.gov.in/my-government/indian-parliament/bhagirath-prasad
Mehboob Ali Kaiser,https://india.gov.in/my-government/indian-parliament/mehboob-ali-kaiser
Laxmi Narayan Yadav,https://india.gov.in/my-government/indian-parliament/laxmi-narayan-yadav
Gokaraju Ganga Raju,https://india.gov.in/my-government/indian-parliament/gokaraju-ganga-raju
Rajesh Kumar Diwakar,https://india.gov.in/my-government/indian-parliament/rajesh-kumar-diwakar
Maheish Girri,https://india.gov.in/my-government/indian-parliament/maheish-girri
Kanwar Singh Tanwar,https://india.gov.in/my-government/indian-parliament/kanwar-singh-tanwar
Manoj Kumar Tiwari,https://india.gov.in/my-government/indian-parliament/manoj-kumar-tiwari
Bhola Singh,https://india.gov.in/my-government/indian-parliament/bhola-singh-0
Satish Kumar Gautam,https://india.gov.in/my-government/indian-parliament/satish-kumar-gautam
Nepal Singh,https://india.gov.in/my-government/indian-parliament/nepal-singh
Ramesh Chander Kaushik,https://india.gov.in/my-government/indian-parliament/ramesh-chander-kaushik
Satya Pal Singh,https://india.gov.in/my-government/indian-parliament/satya-pal-singh
B. S. Yeddyurappa,https://india.gov.in/my-government/indian-parliament/b-s-yeddyurappa
Vijay Kumar Singh,https://india.gov.in/my-government/indian-parliament/vijay-kumar-singh
P.P. Chaudhary,https://india.gov.in/my-government/indian-parliament/pp-chaudhary
Savitri Thakur,https://india.gov.in/my-government/indian-parliament/savitri-thakur
Dharmendra Kumar,https://india.gov.in/my-government/indian-parliament/dharmendra-kumar
Keshav Prasad Maurya,https://india.gov.in/my-government/indian-parliament/keshav-prasad-maurya
Hukum Singh,https://india.gov.in/my-government/indian-parliament/hukum-singh
Daddan Mishra,https://india.gov.in/my-government/indian-parliament/daddan-mishra
Doddaalahalli Kempegowda Suresh,https://india.gov.in/my-government/indian-parliament/doddaalahalli-kempegowda-suresh
Prasun Banerjee,https://india.gov.in/my-government/indian-parliament/prasun-banerjee
Mala Rajya Laxmi Shah,https://india.gov.in/my-government/indian-parliament/mala-rajya-laxmi-shah
Abhijit Mukherjee,https://india.gov.in/my-government/indian-parliament/abhijit-mukherjee
Dimple Yadav,https://india.gov.in/my-government/indian-parliament/dimple-yadav
Subrata Bakshi,https://india.gov.in/my-government/indian-parliament/subrata-bakshi
Dinesh Kashyap,https://india.gov.in/my-government/indian-parliament/dinesh-kashyap
